root@6b0c533fcceb:/workspaces/linux-study# sar -r 1
Linux 5.15.49-linuxkit (6b0c533fcceb)   06/07/23        _aarch64_       (4 CPU)

23:34:44    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:35:44      2396296   6808412   5744916     70.57    199088   4570496   5860780     63.77   1725412   3666360         0

23:35:44    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:35:45      2395228   6807344   5745984     70.58    199088   4570496   5861908     63.79   1725416   3666476         0
23:35:46      2395756   6807884   5745456     70.57    199096   4570496   5860780     63.77   1725424   3665952         0
23:35:47      2395660   6807788   5745552     70.57    199096   4570496   5860780     63.77   1725420   3666460         0
23:35:48      2395104   6807232   5746108     70.58    199096   4570496   5860780     63.77   1725420   3667264         0
23:35:49      2397972   6810100   5743240     70.55    199096   4570496   5860780     63.77   1725424   3663840         0
23:35:50      2397840   6809972   5743372     70.55    199096   4570496   5861908     63.79   1725428   3667232         0
23:35:51      2397512   6809644   5743700     70.55    199104   4570488   5860780     63.77   1725428   3667108         0
23:35:52      2396348   6808480   5744864     70.57    199104   4570496   5860780     63.77   1725428   3667016         0
23:35:53      2396240   6808372   5744972     70.57    199104   4570496   5860780     63.77   1725428   3666440         0
23:35:54      2396316   6808448   5744896     70.57    199104   4570496   5860780     63.77   1725428   3667172         0
23:35:55      2391008   6803136   5750204     70.63    199104   4570496   5861908     63.79   1725436   3668576         0
23:35:56      2392532   6804660   5748680     70.61    199112   4570488   5860780     63.77   1725428   3666944         0

23:35:56    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:35:57      2392548   6804684   5748664     70.61    199112   4570496   5860780     63.77   1725436   3665704         0
23:35:58      2393172   6805308   5748040     70.60    199112   4570496   5860780     63.77   1725440   3665448         0
23:35:59      2391840   6803976   5749372     70.62    199112   4570496   5860780     63.77   1725432   3666276         0
23:36:00      2388868   6800996   5752344     70.66    199112   4570496   5861908     63.79   1725444   3669164         0
23:36:01      2391432   6803560   5749780     70.63    199120   4570488   5860928     63.78   1725444   3666956         0
23:36:02      2392456   6804592   5748756     70.61    199120   4570496   5860928     63.78   1725444   3665908         0
23:36:03      2396112   6808248   5745100     70.57    199120   4570496   5860928     63.78   1725440   3666584         0
23:36:04      2395472   6807608   5745740     70.58    199120   4570496   5860928     63.78   1725444   3668224         0
23:36:05      2394032   6806172   5747180     70.59    199120   4570496   5862056     63.79   1725456   3669444         0
23:36:06      2396964   6809116   5744248     70.56    199128   4570496   5860928     63.78   1725452   3665948         0
23:36:07      2396636   6808788   5744576     70.56    199128   4570496   5860928     63.78   1725452   3666720         0
23:36:08      2397464   6809616   5743748     70.55    199128   4570496   5860928     63.78   1725452   3667672         0

23:36:08    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:36:09      2397372   6809524   5743840     70.55    199128   4570496   5860928     63.78   1725452   3668092         0
23:36:10      2395912   6808060   5745300     70.57    199128   4570496   5862056     63.79   1725464   3669680         0
23:36:11      2396452   6808600   5744760     70.56    199136   4570488   5860928     63.78   1725464   3668864         0
23:36:12      2398068   6810224   5743144     70.54    199136   4570496   5860928     63.78   1725460   3669180         0
23:36:13      2396872   6809028   5744340     70.56    199136   4570496   5860928     63.78   1725460   3668984         0
23:36:14      2397444   6809600   5743768     70.55    199136   4570496   5860928     63.78   1725460   3668620         0
23:36:15      2395976   6808136   5745236     70.57    199136   4570496   5862056     63.79   1725456   3668916         0
23:36:16      2394860   6807020   5746352     70.58    199144   4570496   5860928     63.78   1725464   3670292         0
23:36:17      2393184   6805344   5748028     70.60    199144   4570496   5860928     63.78   1725468   3669068         0
